seg_id,vertex_seq,lon,lat,traffic_score
61,3,-79.75348439999992,43.64136380000008,0.5761769498578702
61,4,-79.75327269999997,43.64163160000004,0.5750002716296776
61,5,-79.75315609999996,43.64187350000004,0.5754062610706476
61,6,-79.75309299999998,43.642079900000056,0.5760715452251736
62,0,-79.75905268402667,43.638744370800765,0.4749743951150114
62,1,-79.75878169999999,43.63898590000007,0.47876117948652225
62,2,-79.75873449999995,43.63901690000006,0.4792815045807156
62,3,-79.75866139999994,43.639034100000046,0.4796947648305302
62,4,-79.758202,43.63887610000007,0.47879606139405384
62,5,-79.75814543151003,43.63884176568554,0.478483605200616
63,0,-79.75222259999998,43.64201180000003,0.5671516774090326
63,1,-79.75206109999993,43.642028100000054,0.6263104691406775
63,2,-79.75175449999995,43.64208780000008,0.6234087898440225
63,3,-79.7513355,43.64226780000006,0.6193582847980652
63,4,-79.75114689999998,43.642391800000034,0.6174823462493607
64,0,-79.75797729999994,43.641322700000046,0.5386774505210694
64,1,-79.75785689999996,43.64160050000004,0.5420275124269792
64,2,-79.75777749999996,43.64173020000004,0.5436757724501463
64,3,-79.75769499999994,43.641819300000066,0.5448576794645308
64,4,-79.75628759999995,43.64310960000006,0.606522057505085
65,0,-79.76012889999998,43.64533360000007,0.5994735693139318
65,1,-79.75973599999998,43.64570190000006,0.6099488990290606
66,0,-79.75998089999996,43.644384700000046,0.5617316711980005
66,1,-79.75900669999999,43.64526590000003,0.62264939889717
67,0,-79.74409039999995,43.64359300000006,0.4525410753628214
67,1,-79.74343009999996,43.644153000000074,0.4743735636105997
67,2,-79.74334369999997,43.64421060000006,0.47944777175795233
67,3,-79.74323359999994,43.64421390000006,0.4859539887307838
67,4,-79.74315509999995,43.64416990000006,0.49047998245191665
67,5,-79.74258039999994,43.64369870000008,0.5207121016770881
67,6,-79.74231129999998,43.64353150000005,0.5323630584530331
67,7,-79.74221009999997,43.64349330000004,0.5362489954454239
67,8,-79.74213099999997,43.64349940000005,0.538946816375881
67,9,-79.74196909999995,43.643574200000046,0.5439939739946578
67,10,-79.74150359999997,43.643999300000075,0.5580115717481176
68,0,-79.74084559999994,43.64457240000007,0.5773507732450899
68,1,-79.74046759999997,43.64489840000004,0.5871981107212949
68,2,-79.74044439999993,43.644957900000065,0.5879315614533224
68,3,-79.74045819999998,43.64501790000002,0.5879132325897736
68,4,-79.74053989999997,43.64515940000006,0.5869363628812879
69,0,-79.76116849999993,43.64704180000007,0.5528814537988312
69,1,-79.76131569999995,43.64708360000003,0.5481629788051812
69,2,-79.76139219999997,43.64715410000007,0.5443204418105437
69,3,-79.76143359999998,43.647306300000025,0.54642755580616
69,4,-79.76148249999994,43.64745740000007,0.5396980582006947
69,5,-79.76153869999996,43.64760710000007,0.5324922833773967
69,6,-79.76160219999997,43.64775530000002,0.524944453944031
69,7,-79.76160659999994,43.647775600000045,0.5239253355942265
69,8,-79.76160609999992,43.647796200000066,0.5229191526494289
69,9,-79.76160099999998,43.647816400000075,0.5219531908839421
69,10,-79.76159119999994,43.64783570000003,0.5210514261366237
69,11,-79.76157709999997,43.64785360000008,0.5202379131853512
69,12,-79.76155909999994,43.64786950000006,0.5195458124514127
69,13,-79.76153769999996,43.64788290000008,0.5190061296895455
69,14,-79.76122119999997,43.64799070000004,0.5169792481531996
69,15,-79.76111929999996,43.64802920000005,0.5167370265896244
70,0,-79.79986529999996,43.72084920000004,0.8137307297092103
70,1,-79.80077149999993,43.72118980000005,0.8179733247142575
71,0,-79.78584579999995,43.69706390000005,0.5411965439023483
71,1,-79.78657369999996,43.69762080000004,0.5419547377565715
72,0,-79.73302689999997,43.66599580000007,0.7703483684437483
72,1,-79.73288109999999,43.666117300000046,0.771495216278996
72,2,-79.73275059999997,43.66623530000004,0.771404764289076
73,0,-79.77780399999995,43.71532350000006,0.50803905459312
73,1,-79.77727599999997,43.71580410000007,0.5188655623979204
73,2,-79.77723119999996,43.71587120000004,0.5200375330242842
73,3,-79.77723479999996,43.71592970000006,0.5214719213348622
73,4,-79.77729559999995,43.71599340000005,0.5237737173206246
73,5,-79.77894779999995,43.71722660000007,0.6337435299275691
74,0,-79.73258789999993,43.72080060000007,0.38565494303679837
74,1,-79.73347139999998,43.72114800000003,0.3852386645123413
75,0,-79.75992719999994,43.71271790000002,0.7076029852052527
75,1,-79.75943819999996,43.71287920000003,0.7031093453737951
75,2,-79.75939149999992,43.71292370000003,0.7040000902263205
75,3,-79.75936549999994,43.71298200000007,0.7055170018425982
75,4,-79.75945269999993,43.713181700000064,0.7111921837152902
75,5,-79.75951369999994,43.71332120000005,0.7145629314429435
75,6,-79.75961849999999,43.71338990000004,0.7162902729296174
76,0,-79.75753699999996,43.72301040000007,0.5339641387890521
76,1,-79.75772199999993,43.72306640000004,0.5319694723021333
76,2,-79.75790689999997,43.72313140000005,0.5297620494622391
76,3,-79.75811569999995,43.72324180000004,0.5263550897907687
76,4,-79.75859399999996,43.72352610000008,0.5179568758774715
77,0,-79.72934979999997,43.663893000000016,0.7327408701138056
77,1,-79.72912789999998,43.66404890000007,0.7163668503710737
78,0,-79.73998469999998,43.67473300000006,0.4775945763580372
78,1,-79.74121959999997,43.67566950000001,0.430651078950371
79,0,-79.7106348,43.70157850000004,0.36183484192860926
79,1,-79.71045019999995,43.70170340000004,0.3587627184912122
80,0,-79.77634669999996,43.66545670000005,0.8043120310675231
80,1,-79.77550199999995,43.66558990000003,0.7808293313893585
81,0,-79.74494629999997,43.64409250000005,0.4142169199406471
81,1,-79.74612719999998,43.644772400000086,0.49627600149835016
82,0,-79.80057659999994,43.683315900000025,0.6327571084445925
82,1,-79.80075359999994,43.68306540000003,0.6303448466716176
82,2,-79.80117659999995,43.68291950000003,0.6216369234729094
82,3,-79.80124969999997,43.68289710000005,0.6196558014616081
82,4,-79.80130209999997,43.68288780000006,0.6183989093668014
82,5,-79.80132169999996,43.68288720000004,0.6180366303698098
82,6,-79.80135349999995,43.68288620000005,0.6174886724549233
82,7,-79.80139779999996,43.68289790000006,0.6173434631412559
82,8,-79.80142759999994,43.68291320000003,0.6176651167229957
82,9,-79.80149929999999,43.68295790000007,0.6192093962296275
82,10,-79.80273139999997,43.68385770000003,0.6388981237063188
83,0,-79.73677439999994,43.66706670000007,0.6571071370556523
83,1,-79.73704649999996,43.66699320000003,0.6543973033194811
83,2,-79.73710739999996,43.66700740000004,0.6543586325203563
83,3,-79.73756379999998,43.66727800000007,0.6821779271888827
83,4,-79.73760279999993,43.66734150000008,0.6834449113764035
83,5,-79.73757639999997,43.66752580000008,0.688929863111386
84,0,-79.70874989999999,43.67713500000007,0.44878550159522207
84,1,-79.71014979999995,43.677670000000035,0.4277568375598699
85,0,-79.70794399999994,43.69984780000003,0.37313359258412426
